rank,approach,accuracy,k_mean,k_std,BPSK,QPSK,8PSK,QAM16,QAM64,PAM4,CPFSK,GFSK,AM-DSB,AM-SSB,WBFM
48,J_ent3grp_4.8_5.5_5_15_50,0.383727,9.8,13.5,0.0110,0.0025,0.0040,0.2355,0.6795,0.9450,0.0225,0.3620,0.9385,0.6715,0.3490
49,I_hybrid_ent0.5_ecb0.5,0.370545,26.0,15.1,0.7405,0.3950,0.0280,0.0045,0.0060,0.7820,0.8610,0.2735,0.6770,0.0355,0.2730
50,A_entropy_linear,0.367864,34.6,15.6,0.7395,0.3960,0.0260,0.0035,0.0035,0.7760,0.8610,0.2465,0.6705,0.0540,0.2700
51,F_mdl_x5.0,0.366318,7.8,8.5,0.0555,0.0025,0.0105,0.2325,0.6815,0.9490,0.0385,0.7655,0.9385,0.0000,0.3555
52,H_spread_linear,0.359136,50.0,18.4,0.7345,0.3890,0.0215,0.0035,0.0035,0.7755,0.8575,0.2100,0.6580,0.0335,0.2640
53,A_entropy_thresh_fine,0.270409,8.3,18.2,0.0070,0.0005,0.0000,0.2225,0.0545,0.5370,0.0010,0.2335,0.9840,0.7490,0.1855
54,A_entropy_thresh_coarse,0.267455,8.1,18.2,0.0065,0.0005,0.0000,0.2180,0.0525,0.5220,0.0005,0.2265,0.9840,0.7460,0.1855
55,J_5group_ent_ecb,0.263091,7.2,14.3,0.0140,0.0020,0.0000,0.2180,0.0525,0.5230,0.0135,0.2300,0.9840,0.6715,0.1855
56,F_mdl_x3.0,0.257409,4.0,6.1,0.0450,0.0005,0.0080,0.2170,0.0635,0.5555,0.0125,0.6290,0.9840,0.0000,0.3165
57,F_mdl_x2.0,0.250409,3.3,4.1,0.0415,0.0005,0.0075,0.2165,0.0635,0.5545,0.0095,0.5535,0.9840,0.0000,0.3235
58,F_mdl_x1.0,0.227500,2.5,1.8,0.0390,0.0005,0.0075,0.2185,0.0530,0.5345,0.0065,0.3380,0.9840,0.0000,0.3210
