mod,snr,scenario,crc_pass_rate,ber,amc_acc
GFSK,0,CW+Top10,0.065,0.284286,0.035
GFSK,0,CW+Top10+AMC,0.0,0.490357,0.035
GFSK,0,Clean+Top10,0.065,0.284286,-1
GFSK,0,CW+Top20,0.065,0.284286,0.03
GFSK,0,CW+Top20+AMC,0.01,0.464643,0.03
GFSK,0,Clean+Top20,0.065,0.284286,-1
GFSK,0,CW+Top30,0.065,0.284286,0.025
GFSK,0,CW+Top30+AMC,0.015,0.443929,0.025
GFSK,0,Clean+Top30,0.065,0.284286,-1
GFSK,0,CW+Top40,0.065,0.284286,0.03
GFSK,0,CW+Top40+AMC,0.02,0.431429,0.03
GFSK,0,Clean+Top40,0.065,0.284286,-1
GFSK,0,CW+Top50,0.065,0.284286,0.03
GFSK,0,CW+Top50+AMC,0.02,0.428214,0.03
GFSK,0,Clean+Top50,0.065,0.284286,-1
