mod,snr,fec,scenario,crc_pass_rate,amc_acc
QPSK,0,True,Clean+Top50,1.0,-1
8PSK,0,False,Clean,0.01,0.37
8PSK,0,False,Clean+AMC,0.005,0.37
8PSK,0,False,CW,0.01,0.0
8PSK,0,False,CW+AMC,0.01,0.0
8PSK,0,False,CW+Top10,0.015,0.0
8PSK,0,False,CW+Top10+AMC,0.0,0.0
8PSK,0,False,Clean+Top10,0.015,-1
8PSK,0,False,CW+Top20,0.01,0.085
8PSK,0,False,CW+Top20+AMC,0.0,0.085
8PSK,0,False,Clean+Top20,0.01,-1
8PSK,0,False,CW+Top50,0.005,0.305
8PSK,0,False,CW+Top50+AMC,0.0,0.305
8PSK,0,False,Clean+Top50,0.005,-1
8PSK,0,True,Clean,1.0,0.38
8PSK,0,True,Clean+AMC,0.38,0.38
8PSK,0,True,CW,1.0,0.0
8PSK,0,True,CW+AMC,0.0,0.0
8PSK,0,True,CW+Top10,0.995,0.0
8PSK,0,True,CW+Top10+AMC,0.0,0.0
8PSK,0,True,Clean+Top10,0.995,-1
8PSK,0,True,CW+Top20,0.995,0.1
8PSK,0,True,CW+Top20+AMC,0.1,0.1
8PSK,0,True,Clean+Top20,0.995,-1
8PSK,0,True,CW+Top50,1.0,0.35
8PSK,0,True,CW+Top50+AMC,0.35,0.35
8PSK,0,True,Clean+Top50,1.0,-1
QAM16,0,False,Clean,0.015,0.625
QAM16,0,False,Clean+AMC,0.015,0.625
QAM16,0,False,CW,0.015,0.005
QAM16,0,False,CW+AMC,0.0,0.005
QAM16,0,False,CW+Top10,0.0,0.1
QAM16,0,False,CW+Top10+AMC,0.01,0.1
QAM16,0,False,Clean+Top10,0.0,-1
QAM16,0,False,CW+Top20,0.005,0.32
QAM16,0,False,CW+Top20+AMC,0.0,0.32
QAM16,0,False,Clean+Top20,0.005,-1
QAM16,0,False,CW+Top50,0.005,0.6
QAM16,0,False,CW+Top50+AMC,0.02,0.6
QAM16,0,False,Clean+Top50,0.005,-1
QAM16,0,True,Clean,0.83,0.64
QAM16,0,True,Clean+AMC,0.545,0.64
QAM16,0,True,CW,0.83,0.0
QAM16,0,True,CW+AMC,0.005,0.0
QAM16,0,True,CW+Top10,0.645,0.1
QAM16,0,True,CW+Top10+AMC,0.07,0.1
QAM16,0,True,Clean+Top10,0.65,-1
QAM16,0,True,CW+Top20,0.78,0.405
QAM16,0,True,CW+Top20+AMC,0.315,0.405
QAM16,0,True,Clean+Top20,0.785,-1
QAM16,0,True,CW+Top50,0.825,0.55
QAM16,0,True,CW+Top50+AMC,0.445,0.55
QAM16,0,True,Clean+Top50,0.825,-1
QAM64,0,False,Clean,0.0,0.175
QAM64,0,False,Clean+AMC,0.005,0.175
QAM64,0,False,CW,0.0,0.0
QAM64,0,False,CW+AMC,0.005,0.0
QAM64,0,False,CW+Top10,0.015,0.89
QAM64,0,False,CW+Top10+AMC,0.015,0.89
QAM64,0,False,Clean+Top10,0.015,-1
QAM64,0,False,CW+Top20,0.0,0.725
QAM64,0,False,CW+Top20+AMC,0.0,0.725
QAM64,0,False,Clean+Top20,0.0,-1
QAM64,0,False,CW+Top50,0.0,0.22
QAM64,0,False,CW+Top50+AMC,0.005,0.22
QAM64,0,False,Clean+Top50,0.0,-1
QAM64,0,True,Clean,0.035,0.225
QAM64,0,True,Clean+AMC,0.005,0.225
QAM64,0,True,CW,0.035,0.0
QAM64,0,True,CW+AMC,0.0,0.0
QAM64,0,True,CW+Top10,0.01,0.9
QAM64,0,True,CW+Top10+AMC,0.005,0.9
QAM64,0,True,Clean+Top10,0.01,-1
QAM64,0,True,CW+Top20,0.01,0.68
QAM64,0,True,CW+Top20+AMC,0.01,0.68
QAM64,0,True,Clean+Top20,0.01,-1
QAM64,0,True,CW+Top50,0.03,0.275
QAM64,0,True,CW+Top50+AMC,0.01,0.275
QAM64,0,True,Clean+Top50,0.03,-1
PAM4,0,False,Clean,0.035,0.76
PAM4,0,False,Clean+AMC,0.02,0.76
PAM4,0,False,CW,0.03,0.0
PAM4,0,False,CW+AMC,0.005,0.0
PAM4,0,False,CW+Top10,0.005,0.535
PAM4,0,False,CW+Top10+AMC,0.005,0.535
PAM4,0,False,Clean+Top10,0.005,-1
PAM4,0,False,CW+Top20,0.01,0.64
PAM4,0,False,CW+Top20+AMC,0.01,0.64
PAM4,0,False,Clean+Top20,0.015,-1
PAM4,0,False,CW+Top50,0.03,0.74
PAM4,0,False,CW+Top50+AMC,0.015,0.74
PAM4,0,False,Clean+Top50,0.035,-1
PAM4,0,True,Clean,0.945,0.785
PAM4,0,True,Clean+AMC,0.75,0.785
PAM4,0,True,CW,0.945,0.0
PAM4,0,True,CW+AMC,0.0,0.0
PAM4,0,True,CW+Top10,0.935,0.615
PAM4,0,True,CW+Top10+AMC,0.595,0.615
PAM4,0,True,Clean+Top10,0.94,-1
PAM4,0,True,CW+Top20,0.945,0.68
PAM4,0,True,CW+Top20+AMC,0.655,0.68
PAM4,0,True,Clean+Top20,0.945,-1
PAM4,0,True,CW+Top50,0.945,0.755
PAM4,0,True,CW+Top50+AMC,0.725,0.755
PAM4,0,True,Clean+Top50,0.945,-1
