attack,mod,snr,fec,scenario,crc_pass_rate,amc_acc
eaden,QAM16,0,False,Clean+Top10,0.005,-1
eaden,QAM16,0,False,EADEN+Top20,0.0,0.34
eaden,QAM16,0,False,EADEN+Top20+AMC,0.0,0.34
eaden,QAM16,0,False,Clean+Top20,0.0,-1
eaden,QAM16,0,False,EADEN+Top50,0.015,0.595
eaden,QAM16,0,False,EADEN+Top50+AMC,0.005,0.595
eaden,QAM16,0,False,Clean+Top50,0.015,-1
eaden,QAM16,0,True,Clean,0.86,0.62
eaden,QAM16,0,True,Clean+AMC,0.525,0.62
eaden,QAM16,0,True,EADEN,0.865,0.0
eaden,QAM16,0,True,EADEN+AMC,0.0,0.0
eaden,QAM16,0,True,EADEN+Top10,0.42,0.1
eaden,QAM16,0,True,EADEN+Top10+AMC,0.05,0.1
eaden,QAM16,0,True,Clean+Top10,0.43,-1
eaden,QAM16,0,True,EADEN+Top20,0.71,0.255
eaden,QAM16,0,True,EADEN+Top20+AMC,0.165,0.255
eaden,QAM16,0,True,Clean+Top20,0.705,-1
eaden,QAM16,0,True,EADEN+Top50,0.845,0.53
eaden,QAM16,0,True,EADEN+Top50+AMC,0.455,0.53
eaden,QAM16,0,True,Clean+Top50,0.84,-1
eaden,QAM64,0,False,Clean,0.0,0.18
eaden,QAM64,0,False,Clean+AMC,0.01,0.18
eaden,QAM64,0,False,EADEN,0.0,0.0
eaden,QAM64,0,False,EADEN+AMC,0.01,0.0
eaden,QAM64,0,False,EADEN+Top10,0.0,0.88
eaden,QAM64,0,False,EADEN+Top10+AMC,0.0,0.88
eaden,QAM64,0,False,Clean+Top10,0.0,-1
eaden,QAM64,0,False,EADEN+Top20,0.0,0.665
eaden,QAM64,0,False,EADEN+Top20+AMC,0.0,0.665
eaden,QAM64,0,False,Clean+Top20,0.0,-1
eaden,QAM64,0,False,EADEN+Top50,0.0,0.27
eaden,QAM64,0,False,EADEN+Top50+AMC,0.0,0.27
eaden,QAM64,0,False,Clean+Top50,0.0,-1
eaden,QAM64,0,True,Clean,0.195,0.15
eaden,QAM64,0,True,Clean+AMC,0.03,0.15
eaden,QAM64,0,True,EADEN,0.195,0.0
eaden,QAM64,0,True,EADEN+AMC,0.005,0.0
eaden,QAM64,0,True,EADEN+Top10,0.005,0.905
eaden,QAM64,0,True,EADEN+Top10+AMC,0.005,0.905
eaden,QAM64,0,True,Clean+Top10,0.005,-1
eaden,QAM64,0,True,EADEN+Top20,0.05,0.605
eaden,QAM64,0,True,EADEN+Top20+AMC,0.03,0.605
eaden,QAM64,0,True,Clean+Top20,0.05,-1
eaden,QAM64,0,True,EADEN+Top50,0.145,0.285
eaden,QAM64,0,True,EADEN+Top50+AMC,0.045,0.285
eaden,QAM64,0,True,Clean+Top50,0.145,-1
eaden,PAM4,0,False,Clean,0.2,0.825
eaden,PAM4,0,False,Clean+AMC,0.175,0.825
eaden,PAM4,0,False,EADEN,0.22,0.0
eaden,PAM4,0,False,EADEN+AMC,0.0,0.0
eaden,PAM4,0,False,EADEN+Top10,0.01,0.635
eaden,PAM4,0,False,EADEN+Top10+AMC,0.005,0.635
eaden,PAM4,0,False,Clean+Top10,0.01,-1
eaden,PAM4,0,False,EADEN+Top20,0.095,0.665
eaden,PAM4,0,False,EADEN+Top20+AMC,0.065,0.665
eaden,PAM4,0,False,Clean+Top20,0.105,-1
eaden,PAM4,0,False,EADEN+Top50,0.2,0.75
eaden,PAM4,0,False,EADEN+Top50+AMC,0.16,0.75
eaden,PAM4,0,False,Clean+Top50,0.2,-1
eaden,PAM4,0,True,Clean,0.815,0.375
eaden,PAM4,0,True,Clean+AMC,0.455,0.375
eaden,PAM4,0,True,EADEN,0.81,0.0
eaden,PAM4,0,True,EADEN+AMC,0.3,0.0
eaden,PAM4,0,True,EADEN+Top10,0.645,0.115
eaden,PAM4,0,True,EADEN+Top10+AMC,0.1,0.115
eaden,PAM4,0,True,Clean+Top10,0.635,-1
eaden,PAM4,0,True,EADEN+Top20,0.725,0.195
eaden,PAM4,0,True,EADEN+Top20+AMC,0.21,0.195
eaden,PAM4,0,True,Clean+Top20,0.76,-1
eaden,PAM4,0,True,EADEN+Top50,0.815,0.21
eaden,PAM4,0,True,EADEN+Top50+AMC,0.305,0.21
eaden,PAM4,0,True,Clean+Top50,0.81,-1
eaden,CPFSK,0,False,Clean,0.095,0.545
eaden,CPFSK,0,False,Clean+AMC,0.05,0.545
eaden,CPFSK,0,False,EADEN,0.095,0.0
eaden,CPFSK,0,False,EADEN+AMC,0.0,0.0
eaden,CPFSK,0,False,EADEN+Top10,0.095,0.02
eaden,CPFSK,0,False,EADEN+Top10+AMC,0.0,0.02
eaden,CPFSK,0,False,Clean+Top10,0.095,-1
eaden,CPFSK,0,False,EADEN+Top20,0.095,0.105
eaden,CPFSK,0,False,EADEN+Top20+AMC,0.01,0.105
eaden,CPFSK,0,False,Clean+Top20,0.095,-1
eaden,CPFSK,0,False,EADEN+Top50,0.095,0.295
eaden,CPFSK,0,False,EADEN+Top50+AMC,0.025,0.295
eaden,CPFSK,0,False,Clean+Top50,0.095,-1
eaden,GFSK,0,False,Clean,0.04,0.005
eaden,GFSK,0,False,Clean+AMC,0.015,0.005
eaden,GFSK,0,False,EADEN,0.04,0.0
eaden,GFSK,0,False,EADEN+AMC,0.015,0.0
eaden,GFSK,0,False,EADEN+Top10,0.04,0.03
eaden,GFSK,0,False,EADEN+Top10+AMC,0.005,0.03
eaden,GFSK,0,False,Clean+Top10,0.04,-1
eaden,GFSK,0,False,EADEN+Top20,0.04,0.015
eaden,GFSK,0,False,EADEN+Top20+AMC,0.01,0.015
eaden,GFSK,0,False,Clean+Top20,0.04,-1
eaden,GFSK,0,False,EADEN+Top50,0.04,0.01
eaden,GFSK,0,False,EADEN+Top50+AMC,0.015,0.01
eaden,GFSK,0,False,Clean+Top50,0.04,-1
eadl1,BPSK,18,False,Clean,1.0,0.995
eadl1,BPSK,18,False,Clean+AMC,0.995,0.995
eadl1,BPSK,18,False,EADL1,1.0,0.0
eadl1,BPSK,18,False,EADL1+AMC,0.015,0.0
eadl1,BPSK,18,False,EADL1+Top10,0.97,0.015
eadl1,BPSK,18,False,EADL1+Top10+AMC,0.025,0.015
eadl1,BPSK,18,False,Clean+Top10,0.975,-1
