attack,param_name,param_value,snr,defense,accuracy,n_samples
pgd,eps,0.03,4,kalman,0.4577272727272727,2200
pgd,eps,0.03,4,wiener,0.44,2200
pgd,eps,0.03,4,savitzky_golay,0.4590909090909091,2200
pgd,eps,0.03,4,gaussian,0.43136363636363634,2200
pgd,eps,0.03,4,fir,0.45136363636363636,2200
pgd,eps,0.03,4,rand_smooth,0.24181818181818182,2200
pgd,eps,0.03,6,no_defense,0.4340909090909091,2200
pgd,eps,0.03,6,adaptive_k_v2_snr,0.5372727272727272,2200
pgd,eps,0.03,6,adaptive_k,0.525,2200
pgd,eps,0.03,6,spectral_gated,0.4731818181818182,2200
pgd,eps,0.03,6,kalman,0.505,2200
pgd,eps,0.03,6,wiener,0.4781818181818182,2200
pgd,eps,0.03,6,savitzky_golay,0.49727272727272726,2200
pgd,eps,0.03,6,gaussian,0.4759090909090909,2200
pgd,eps,0.03,6,fir,0.5113636363636364,2200
pgd,eps,0.03,6,rand_smooth,0.25545454545454543,2200
pgd,eps,0.03,8,no_defense,0.4640909090909091,2200
pgd,eps,0.03,8,adaptive_k_v2_snr,0.545,2200
pgd,eps,0.03,8,adaptive_k,0.5413636363636364,2200
pgd,eps,0.03,8,spectral_gated,0.48818181818181816,2200
pgd,eps,0.03,8,kalman,0.5227272727272727,2200
pgd,eps,0.03,8,wiener,0.495,2200
pgd,eps,0.03,8,savitzky_golay,0.515,2200
pgd,eps,0.03,8,gaussian,0.49,2200
pgd,eps,0.03,8,fir,0.5045454545454545,2200
pgd,eps,0.03,8,rand_smooth,0.23636363636363636,2200
pgd,eps,0.03,10,no_defense,0.48045454545454547,2200
pgd,eps,0.03,10,adaptive_k_v2_snr,0.5577272727272727,2200
pgd,eps,0.03,10,adaptive_k,0.5522727272727272,2200
pgd,eps,0.03,10,spectral_gated,0.509090909090909,2200
pgd,eps,0.03,10,kalman,0.5018181818181818,2200
pgd,eps,0.03,10,wiener,0.5222727272727272,2200
pgd,eps,0.03,10,savitzky_golay,0.5427272727272727,2200
pgd,eps,0.03,10,gaussian,0.5013636363636363,2200
pgd,eps,0.03,10,fir,0.5913636363636363,2200
pgd,eps,0.03,10,rand_smooth,0.2586363636363636,2200
pgd,eps,0.03,12,no_defense,0.48727272727272725,2200
pgd,eps,0.03,12,adaptive_k_v2_snr,0.5663636363636364,2200
pgd,eps,0.03,12,adaptive_k,0.5613636363636364,2200
pgd,eps,0.03,12,spectral_gated,0.505,2200
pgd,eps,0.03,12,kalman,0.5381818181818182,2200
pgd,eps,0.03,12,wiener,0.5131818181818182,2200
pgd,eps,0.03,12,savitzky_golay,0.525,2200
pgd,eps,0.03,12,gaussian,0.5027272727272727,2200
pgd,eps,0.03,12,fir,0.5436363636363636,2200
pgd,eps,0.03,12,rand_smooth,0.26681818181818184,2200
pgd,eps,0.03,14,no_defense,0.49772727272727274,2200
pgd,eps,0.03,14,adaptive_k_v2_snr,0.5654545454545454,2200
pgd,eps,0.03,14,adaptive_k,0.5622727272727273,2200
pgd,eps,0.03,14,spectral_gated,0.5204545454545455,2200
pgd,eps,0.03,14,kalman,0.5463636363636364,2200
pgd,eps,0.03,14,wiener,0.5213636363636364,2200
pgd,eps,0.03,14,savitzky_golay,0.5390909090909091,2200
pgd,eps,0.03,14,gaussian,0.5145454545454545,2200
pgd,eps,0.03,14,fir,0.5445454545454546,2200
pgd,eps,0.03,14,rand_smooth,0.2540909090909091,2200
pgd,eps,0.03,16,no_defense,0.5131818181818182,2200
pgd,eps,0.03,16,adaptive_k_v2_snr,0.5740909090909091,2200
pgd,eps,0.03,16,adaptive_k,0.5709090909090909,2200
pgd,eps,0.03,16,spectral_gated,0.5309090909090909,2200
pgd,eps,0.03,16,kalman,0.5327272727272727,2200
pgd,eps,0.03,16,wiener,0.5368181818181819,2200
pgd,eps,0.03,16,savitzky_golay,0.5540909090909091,2200
pgd,eps,0.03,16,gaussian,0.5286363636363637,2200
pgd,eps,0.03,16,fir,0.595,2200
pgd,eps,0.03,16,rand_smooth,0.26136363636363635,2200
pgd,eps,0.03,18,no_defense,0.5231818181818182,2200
pgd,eps,0.03,18,adaptive_k_v2_snr,0.5754545454545454,2200
pgd,eps,0.03,18,adaptive_k,0.5718181818181818,2200
