mod,snr,scenario,crc_pass_rate,ber,amc_acc
QAM16,18,CW+Top40,0.995,8.9e-05,0.28
QAM16,18,CW+Top40+AMC,0.285,0.344643,0.28
QAM16,18,Clean+Top40,1.0,0.0,-1
QAM16,18,CW+Top50,1.0,0.0,0.295
QAM16,18,CW+Top50+AMC,0.305,0.336964,0.295
QAM16,18,Clean+Top50,1.0,0.0,-1
QAM64,18,Clean,0.895,0.003512,0.925
QAM64,18,Clean+AMC,0.825,0.040179,0.925
QAM64,18,CW,0.865,0.005298,0.01
QAM64,18,CW+AMC,0.015,0.481696,0.01
QAM64,18,CW+Top10,0.005,0.233452,0.95
QAM64,18,CW+Top10+AMC,0.005,0.245863,0.95
QAM64,18,Clean+Top10,0.005,0.230476,-1
QAM64,18,CW+Top20,0.36,0.041369,0.895
QAM64,18,CW+Top20+AMC,0.31,0.088571,0.895
QAM64,18,Clean+Top20,0.415,0.037321,-1
QAM64,18,CW+Top30,0.635,0.015417,0.875
QAM64,18,CW+Top30+AMC,0.555,0.074851,0.875
QAM64,18,Clean+Top30,0.725,0.012381,-1
QAM64,18,CW+Top40,0.765,0.010179,0.84
QAM64,18,CW+Top40+AMC,0.63,0.086339,0.84
QAM64,18,Clean+Top40,0.825,0.007798,-1
QAM64,18,CW+Top50,0.81,0.007976,0.765
QAM64,18,CW+Top50+AMC,0.615,0.119702,0.765
QAM64,18,Clean+Top50,0.85,0.005893,-1
PAM4,18,Clean,1.0,0.0,1.0
PAM4,18,Clean+AMC,1.0,0.0,1.0
PAM4,18,CW,0.985,0.000714,0.035
PAM4,18,CW+AMC,0.04,0.481071,0.035
PAM4,18,CW+Top10,0.115,0.122321,0.88
PAM4,18,CW+Top10+AMC,0.11,0.164107,0.88
PAM4,18,Clean+Top10,0.125,0.121786,-1
PAM4,18,CW+Top20,0.985,0.000714,0.945
PAM4,18,CW+Top20+AMC,0.93,0.031071,0.945
PAM4,18,Clean+Top20,1.0,0.0,-1
PAM4,18,CW+Top30,0.985,0.000536,0.81
PAM4,18,CW+Top30+AMC,0.795,0.09875,0.81
PAM4,18,Clean+Top30,1.0,0.0,-1
PAM4,18,CW+Top40,0.99,0.000357,0.79
PAM4,18,CW+Top40+AMC,0.78,0.103929,0.79
PAM4,18,Clean+Top40,1.0,0.0,-1
PAM4,18,CW+Top50,0.995,0.000179,0.775
PAM4,18,CW+Top50+AMC,0.77,0.114107,0.775
PAM4,18,Clean+Top50,1.0,0.0,-1
CPFSK,18,Clean,1.0,0.0,1.0
CPFSK,18,Clean+AMC,1.0,0.0,1.0
CPFSK,18,CW,1.0,0.0,0.01
CPFSK,18,CW+AMC,0.01,0.495,0.01
CPFSK,18,CW+Top10,1.0,0.0,0.03
CPFSK,18,CW+Top10+AMC,0.035,0.4825,0.03
CPFSK,18,Clean+Top10,1.0,0.0,-1
CPFSK,18,CW+Top20,1.0,0.0,0.255
CPFSK,18,CW+Top20+AMC,0.255,0.3725,0.255
CPFSK,18,Clean+Top20,1.0,0.0,-1
CPFSK,18,CW+Top30,1.0,0.0,0.325
CPFSK,18,CW+Top30+AMC,0.325,0.3375,0.325
CPFSK,18,Clean+Top30,1.0,0.0,-1
CPFSK,18,CW+Top40,1.0,0.0,0.36
CPFSK,18,CW+Top40+AMC,0.36,0.32,0.36
CPFSK,18,Clean+Top40,1.0,0.0,-1
CPFSK,18,CW+Top50,1.0,0.0,0.41
CPFSK,18,CW+Top50+AMC,0.41,0.295,0.41
CPFSK,18,Clean+Top50,1.0,0.0,-1
GFSK,18,Clean,0.995,0.001071,0.01
GFSK,18,Clean+AMC,0.945,0.026071,0.01
GFSK,18,CW,0.995,0.001071,0.01
GFSK,18,CW+AMC,0.945,0.026071,0.01
GFSK,18,CW+Top10,0.995,0.001071,0.01
GFSK,18,CW+Top10+AMC,0.075,0.4625,0.01
GFSK,18,Clean+Top10,0.995,0.001071,-1
GFSK,18,CW+Top20,0.995,0.001071,0.01
GFSK,18,CW+Top20+AMC,0.825,0.086071,0.01
GFSK,18,Clean+Top20,0.995,0.001071,-1
GFSK,18,CW+Top30,0.995,0.001071,0.01
GFSK,18,CW+Top30+AMC,0.93,0.033571,0.01
GFSK,18,Clean+Top30,0.995,0.001071,-1
GFSK,18,CW+Top40,0.995,0.001071,0.01
GFSK,18,CW+Top40+AMC,0.93,0.033571,0.01
GFSK,18,Clean+Top40,0.995,0.001071,-1
GFSK,18,CW+Top50,0.995,0.001071,0.01
GFSK,18,CW+Top50+AMC,0.935,0.031071,0.01
GFSK,18,Clean+Top50,0.995,0.001071,-1
